Name;Screen Size;Camera;RAM;Battery;Price
Samsung Galaxy J7 Prime;5.5 inch Screen;13MP Camera;3GB RAM;3300mAh ;Rs. 11,490
Xiaomi Redmi Note 4 (4GB/64GB);5.5 inch Screen;13MP Camera;4GB RAM;4100mAh ;Rs. 10,999
Samsung Galaxy J2 Pro;5 inch Screen;8MP Camera;2GB RAM;2600mAh ;Rs. 8,999 
Lenovo K8 Note (4GB/64GB);5.5 inch Screen;13MP Camera;4GB RAM;4000mAh ;Rs. 11,999
Samsung Galaxy On7 Pro;5.5 inch Screen;13MP Camera;2GB RAM;3000mAh ;Rs. 7,590 
Motorola Moto M (4GB/64GB);5.5 inch Screen;16MP Camera;4GB RAM;3050mAh ;Rs. 12,999
Vivo V5;5.5 inch Screen;13MP Camera;4GB RAM;3000mAh ;Rs. 14,999
Samsung Galaxy J3 Pro;5 inch Screen;8MP Camera;2GB RAM;2600mAh ;Rs. 6,990 
Samsung Galaxy J7 Prime 32GB;5.5 inch Screen;13MP Camera;3GB RAM;3300mAh ;Rs. 14,900
Samsung Galaxy On Nxt 64GB;5.5 inch Screen;13MP Camera;3GB RAM;3300mAh ;Rs. 12,900
Vivo V7 Plus;5.99 inch Screen;16MP Camera;4GB RAM;3225mAh ;Rs. 19,599
Samsung Galaxy J7 Max;5.7 inch Screen;13MP Camera;4GB RAM;3300mAh ;Rs. 17,190
Samsung Galaxy C9 Pro;6 inch Screen;16MP Camera;6GB RAM;4000mAh ;Rs. 29,820
Coolpad Note 5;5.5 inch Screen;13MP Camera;4GB RAM;4010mAh ;Rs. 8,999 
Xiaomi Redmi 4A;5 inch Screen;13MP Camera;2GB RAM;3120mAh ;Rs. 5,999 
Vivo Y66;5.5 inch Screen;13MP Camera;3GB RAM;3000mAh ;Rs. 12,220
Nokia D1C;5 inch Screen;16MP Camera;3GB RAM;3000mAh ;Rs. 14,999
Oppo F1s (4GB/64GB);5.5 inch Screen;13MP Camera;4GB RAM;3075mAh ;Rs. 16,499
Samsung Galaxy A9 Pro (2016);6 inch Screen;16MP Camera;4GB RAM;5000mAh ;Rs. 18,990
Motorola Moto E4 Plus;5.5 inch Screen;13MP Camera;3GB RAM;5000mAh ;Rs. 9,499 
Samsung Galaxy On Max;5.7 inch Screen;13MP Camera;4GB RAM;3300mAh ;Rs. 15,900
Xiaomi Redmi Note 4 (3GB/32GB);5.5 inch Screen;13MP Camera;3GB RAM;4100mAh ;Rs. 9,999 
