Name;Rating;Release
War for the Planet of the Apes;2.9;July 14, 2017;
Spider-Man: Homecoming;3.0;July 07, 2017;
Transformers: The Last Knight;2.9;June 30, 2017;
Baby Driver;2.7;June 30, 2017;
Despicable Me 3;2.8;June 16, 2017;
Cars 3;2.7;June 16, 2017;
Rough Night;2.6;June 16, 2017;
The Mummy 2017;3.1;June 09, 2017;
Baywatch;2.8;June 02, 2017;
Wonder Woman;3.3;June 01, 2017;
Pirates of the Caribbean: Dead Men Tell No Tales;3.0;May 26, 2017;
Fast And Furious 8;3.2;April 13, 2017;
Ghost in the Shell;2.6;April 07, 2017;
Chips;2.5;March 24, 2017;
Beauty And The Beast;3.0;March 17, 2017;
Kong: Skull Island - Rise of the King;3.0;March 09, 2017;
Logan;3.4;March 03, 2017;
Patriots Day;2.6;March 03, 2017;
Jackie;2.8;February 24, 2017;
The Forest (English);2.6;February 24, 2017;
Hidden Figures;2.8;February 24, 2017;
Moonlight;2.8;February 24, 2017;
The Great Wall;2.8;February 03, 2017;
I Am Not Your Negro;2.4;February 03, 2017;
Fifty Shades Darker;2.6;January 20, 2017;
The Bye Bye Man;2.6;January 20, 2017;
The Founder;2.6;January 20, 2017;
Flight Crew;2.6;January 20, 2017;
Split;2.9;January 20, 2017;
xXx: The Return of the Xander Cage;3.0;January 13, 2017;
Live By Night;2.8;January 13, 2017;
Allied;2.8;January 06, 2017;
Passengers;2.8;January 06, 2017;
Collateral Beauty;3.2;December 16, 2016;
Rogue One: A Star Wars Story;3.0;December 16, 2016;
Fences;3.9;December 16, 2016;
La La Land;2.8;December 09, 2016;
Deepwater Horizon;2.9;December 09, 2016;
Moana;3.3;December 02, 2016;
Underworld: Blood Wars;3.4;December 02, 2016;
Arrival;3.3;November 25, 2016;
Fantastic Beasts And Where To Find Them;3.3;November 18, 2016;
Shut In;2.6;November 18, 2016;
Manchester by the Sea;3.6;November 18, 2016;
Doctor Strange;3.3;November 04, 2016;
Loving;3.3;November 04, 2016;
Hacksaw Ridge;2.6;November 04, 2016;
Watani: My Homeland;3.8;October 28, 2016;
Swiss Army Man;2.3;October 28, 2016;
Jack Reacher - Never Go Back;3.1;October 21, 2016;
My Life as a Courgette;3.9;October 19, 2016;
Inferno;2.8;October 14, 2016;
The Girl In The Train;3.0;October 14, 2016;
Silent Nights;3.5;October 14, 2016;
Borrowed Time;3.5;October 14, 2016;
Exposed;2.8;September 29, 2016;
The Magnificent Seven;2.8;September 23, 2016;
Kubo and the Two Strings;2.4;September 23, 2016;
Hail, Caesar;2.4;September 23, 2016;
The Red Turtle;2.6;September 17, 2016;
The Shallows;2.9;September 16, 2016;
Robinson Crusoe;2.9;September 16, 2016;
Extremis;3.1;September 13, 2016;
Sully;3.3;September 09, 2016;
4.1 Miles;3.9;September 09, 2016;
Zoolander 2;2.5;September 08, 2016;
Mechanic Resurrection;3.2;August 25, 2016;
War Dogs;2.7;August 19, 2016;
The Big Short;2.6;August 12, 2016;
Hell or High Water;2.6;August 12, 2016;
Florence Foster Jenkins;2.4;August 12, 2016;
Jason Bourne;3.3;August 05, 2016;
The Railroad Lady;3.1;August 05, 2016;
Suicide Squad;3.3;August 04, 2016;
Ghostbusters;3.0;July 29, 2016;
Bad Moms;3.0;July 29, 2016;
The BFG;3.2;July 29, 2016;
The Brothers Grimsby;2.9;July 15, 2016;
Krampus;2.7;July 14, 2016;
Toni Erdmann;3.7;July 14, 2016;
Equals;2.8;July 14, 2016;
Captain Fantastic;2.2;July 08, 2016;
Meadowland;1.7;July 08, 2016;
The Legend of Tarzan;3.2;July 01, 2016;
Free State of Jones;2.9;July 01, 2016;
Pear Cider and Cigarettes;3.9;July 01, 2016;
Life, Animated;3.7;July 01, 2016;
Independence Day: Resurgence;3.3;June 24, 2016;
The Conjuring 2;3.4;June 10, 2016;
Warcraft;3.2;June 10, 2016;
Keanu;2.0;June 09, 2016;
Teenage Mutant Ninja Turtles: Out of the Shadows;3.1;June 03, 2016;
Me Before You;2.9;June 03, 2016;
The Nice Guys;2.9;June 03, 2016;
Mr. Right;2.7;June 02, 2016;
The Angry Bird Movie;3.6;May 27, 2016;
Alice Through The Looking Glass;2.7;May 27, 2016;
Elle;3.3;May 25, 2016;
Timecode;2.6;May 21, 2016;
My Big Fat Greek Wedding 2;2.6;May 13, 2016;
Blackhat;3.1;May 12, 2016;
Captain America: Civil War;3.7;May 06, 2016;
Claude Lanzmann: Spectres of the Shoah;3.9;May 02, 2016;
10 Cloverfield Lane;2.7;April 29, 2016;
The Man Who Knew Infinity;3.2;April 29, 2016;
Mother's Day;3.0;April 29, 2016;
Creative Control;2.4;April 29, 2016;
The Huntsman: Winter's War;3.0;April 22, 2016;
Pearl;3.1;April 17, 2016;
Before I Wake;2.5;April 15, 2016;
Like Air;1.9;April 01, 2016;
Batman v Superman: Dawn of Justice;3.6;March 25, 2016;
Demolition;2.8;March 25, 2016;
Norm of the North;2.8;March 18, 2016;
Heist;2.9;March 18, 2016;
Eye In The Sky;2.7;March 18, 2016;
Triple 9;2.8;March 11, 2016;
Race (2016);3.2;March 11, 2016;
The Program;2.3;March 11, 2016;
Irrational Man;3.0;March 11, 2016;
London Has Fallen;3.1;March 04, 2016;
Crouching Tiger, Hidden Dragon: Sword of Destiny;2.4;February 26, 2016;
Eddie The Eagle;3.3;February 26, 2016;
The Other Side of the Door;2.8;February 25, 2016;
Spotlight;3.0;February 19, 2016;
Pride And Prejudice And Zombies;2.9;February 19, 2016;
Fire at Sea;3.6;February 18, 2016;
Blind Vaysha;3.8;February 15, 2016;
Deadpool;3.7;February 12, 2016;
How To Be Single;2.8;February 12, 2016;
Trumbo;2.5;February 12, 2016;
The Finest Hours;3.0;February 05, 2016;
Joy;2.9;January 22, 2016;
Macbeth;2.6;January 22, 2016;
Alvin and the Chipmunks: The Road Chip;3.2;January 15, 2016;
The Hateful Eight;2.8;January 15, 2016;
The Danish Girl;2.9;January 15, 2016;
The 33;2.6;January 15, 2016;
The Ridiculous 6;2.5;January 15, 2016;
Our Brand is Crisis;2.7;January 08, 2016;
Daddy's Home;2.8;January 08, 2016;
Point Break;3.2;January 01, 2016;
Monster Hunt;3.0;January 01, 2016;
By The Sea;3.3;December 18, 2015;
Everly;3.0;December 11, 2015;
Snoopy and Charlie Brown: The Peanuts Movie;2.9;December 11, 2015;
In the Heart of the Sea;3.3;December 04, 2015;
The Good Dinosaur;3.5;December 04, 2015;
Legend;3.0;December 04, 2015;
Land of Mine;3.6;December 03, 2015;
The Hunger Games: Mockingjay - Part 2;3.2;November 27, 2015;
Creed;3.2;November 27, 2015;
Sanjay's Super Team;3.6;November 25, 2015;
Spectre;3.4;November 20, 2015;
He Named Me Malala;3.3;November 06, 2015;
Wrecker;3.0;November 06, 2015;
Brooklyn;2.5;November 06, 2015;
Paranormal Activity: The Ghost Dimension;3.1;October 30, 2015;
Goosebumps;3.5;October 30, 2015;
Burnt;3.3;October 30, 2015;
A Girl in the River: The Price of Forgiveness;3.2;October 28, 2015;
The Last Witch Hunter;3.3;October 22, 2015;
Rock the Kasbah;3.0;October 22, 2015;
Prologue;3.9;October 17, 2015;
Bridge Of Spies;2.9;October 16, 2015;
The Martian;3.4;October 02, 2015;
Maze Runner: The Scorch Trials;3.1;September 25, 2015;
The Intern;3.0;September 25, 2015;
A Bigger Splash;2.5;September 25, 2015;
Everest;3.3;September 18, 2015;
Black Mass;3.2;September 18, 2015;
Pawn Sacrifice;3.3;September 18, 2015;
Annie;3.0;September 18, 2015;
We Are Your Friends;3.1;September 11, 2015;
Alexander and the Terrible, Horrible, No Good, Very Bad Day;2.8;September 11, 2015;
Tanna;3.9;September 07, 2015;
The Man From U.N.C.L.E.;3.2;August 28, 2015;
Ricki and The Flash;3.2;August 28, 2015;
45 Years;3.1;August 28, 2015;
A War;3.8;August 27, 2015;
Fantastic Four;3.1;August 21, 2015;
The Gift;3.2;August 21, 2015;
Chau, Beyond the Lines;4.3;August 21, 2015;
Vacation;3.1;August 14, 2015;
Shaun the Sheep;3.2;August 14, 2015;
Straight Outta Compton;2.9;August 14, 2015;
Theeb;3.2;August 14, 2015;
Ant-Man;3.3;July 24, 2015;
Mr. Holmes;3.2;July 24, 2015;
Minions;3.3;July 10, 2015;
The Gallows;3.2;July 10, 2015;
Amy;3.0;July 10, 2015;
Song of the Sea;3.7;July 10, 2015;
Stutterer;2.8;July 08, 2015;
Terminator Genisys;3.2;July 03, 2015;
Max;3.3;July 03, 2015;
Pitch Perfect 2;3.4;July 03, 2015;
Cartel Land;3.4;July 03, 2015;
Entourage;3.2;June 19, 2015;
Mustang;1.6;June 17, 2015;
Hector and the Search for Happiness;2.2;June 16, 2015;
The Duff;3.2;June 12, 2015;
Jurassic World;3.5;June 11, 2015;
Son of Saul;3.7;June 11, 2015;
The Age of Adaline;3.1;June 05, 2015;
San Andreas;3.4;May 29, 2015;
Maggie;3.2;May 29, 2015;
Poltergeist;3.3;May 22, 2015;
Tomorrowland;3.4;May 22, 2015;
Playing It Cool;3.0;May 08, 2015;
The SpongeBob Movie: Sponge Out of Water;3.2;May 08, 2015;
While We're Young;3.0;May 01, 2015;
We Can't Live Without Cosmos;3.3;April 25, 2015;
The Avengers: Age of Ultron;3.8;April 24, 2015;
Kung Fu Killer;3.1;April 24, 2015;
Body Team 12;2.5;April 19, 2015;
The Water Diviner;3.1;April 17, 2015;
Last Day of Freedom;3.8;April 11, 2015;
It Follows;3.1;April 10, 2015;
Broken Horses;3.1;April 10, 2015;
The Gunman;3.1;March 27, 2015;
The Salt of the Earth;3.9;March 26, 2015;
The Divergent Series: Insurgent;3.4;March 20, 2015;
Cinderella;3.2;March 20, 2015;
Stonehearst Asylum;3.1;March 20, 2015;
The Second Best Exotic Marigold Hotel;3.3;March 20, 2015;
Focus;3.4;March 13, 2015;
Chappie;3.4;March 13, 2015;
The Lazarus Effect;3.1;March 06, 2015;
Against The Sun;3.2;March 06, 2015;
World of Tomorrow;3.6;March 01, 2015;
Love, Rosie;3.3;February 13, 2015;
Jupiter Ascending;3.2;February 06, 2015;
The Boy Next Door;3.2;February 06, 2015;
Mr. Turner;2.8;February 06, 2015;
Shaun the Sheep Movie;3.6;February 06, 2015;
Leviathan;2.2;February 05, 2015;
Seventh Son;3.3;January 30, 2015;
Birdman;3.3;January 30, 2015;
Foxcatcher;3.1;January 30, 2015;
Mortdecai;3.1;January 23, 2015;
American Sniper;3.5;January 16, 2015;
The Woman In Black 2: Angel Of Death;3.3;January 02, 2015;
Unbroken;3.5;January 02, 2015;
Everything Will Be Okay;2.4;January 02, 2015;
Night at the Museum: Secret of the Tomb;3.5;December 25, 2014;
Into The Woods;2.8;December 25, 2014;
Selma;4.1;December 25, 2014;
Tusk;2.4;December 19, 2014;
The Hobbit: The Battle of the Five Armies;3.7;December 12, 2014;
Jessabelle;3.2;December 12, 2014;
The Babadook;3.4;December 12, 2014;
Timbuktu;5.0;December 10, 2014;
The Hunger Games: Mockingjay - Part 1;3.3;November 28, 2014;
The Penguins of Madagascar;3.9;November 28, 2014;
Horrible Bosses 2;3.4;November 28, 2014;
The Equalizer;3.6;November 21, 2014;
Dumb and Dumber To;3.4;November 21, 2014;
John Wick;3.5;November 14, 2014;
Beauty And The Beast 2014;3.3;November 14, 2014;
Boyhood;3.6;November 14, 2014;
Two Days, One Night;-;November 13, 2014;
Interstellar;3.8;November 07, 2014;
Big Hero 6;3.7;November 07, 2014;
The Best Of Me;3.1;October 31, 2014;
Ouija;3.0;October 31, 2014;
Let's Be Cops;2.7;October 24, 2014;
Citizenfour;3.3;October 24, 2014;
Sex Tape;3.3;October 17, 2014;
The Judge;3.5;October 17, 2014;
What If;3.0;October 17, 2014;
Kill The Messenger;3.3;October 17, 2014;
Annabelle;3.5;October 10, 2014;
Dracula Untold;3.4;October 10, 2014;
Left Behind;3.1;October 10, 2014;
Deliver Us From Evil;3.2;September 26, 2014;
The Boxtrolls;3.9;September 26, 2014;
The Maze Runner;3.4;September 19, 2014;
A Walk Among the Tombstones;3.6;September 19, 2014;
Dolphin Tale 2;3.1;September 19, 2014;
The Prince;3.3;September 12, 2014;
Sin City: A Dame to Kill For;3.3;September 05, 2014;
If I Stay;3.2;September 05, 2014;
Life Of Crime;3.1;September 05, 2014;
Step Up All In;3.6;August 29, 2014;
Teenage Mutant Ninja Turtles;3.6;August 29, 2014;
Frank;2.4;August 15, 2014;
Guardians of the Galaxy Vol. 1;3.7;August 08, 2014;
Into the Storm;3.5;August 08, 2014;
The Hundred-Foot Journey;3.3;August 08, 2014;
Hercules;3.7;August 01, 2014;
Lucy;3.5;August 01, 2014;
22 Jump Street;3.5;August 01, 2014;
Get On Up;2.5;August 01, 2014;
Boogaloo and Graham;1.5;August 01, 2014;
The Grand Budapest Hotel;3.5;July 25, 2014;
Magic in the Moonlight;3.6;July 25, 2014;
Last Days in Vietnam;3.4;July 05, 2014;
The Fault in Our Stars;3.7;July 04, 2014;
A Single Life;3.3;July 04, 2014;
Transformers: Age of Extinction;3.9;June 27, 2014;
Chef;2.2;June 20, 2014;
Jersey Boys;2.8;June 20, 2014;
How To Train Your Dragon 2;4.2;June 13, 2014;
Grace of Monaco;2.0;June 13, 2014;
Edge of Tomorrow;3.9;June 06, 2014;
Maleficent;3.1;May 30, 2014;
Blended;3.7;May 30, 2014;
Godzilla;3.6;May 16, 2014;
Fading Gigolo;2.8;May 16, 2014;
Million Dollar Arm;3.5;May 09, 2014;
Bear Story;3.9;May 09, 2014;
The Amazing Spider-Man 2;3.7;May 01, 2014;
Tarzan 3D;3.3;April 25, 2014;
Son of God;3.5;April 25, 2014;
Brick Mansions;3.4;April 25, 2014;
Finding Happiness;3.0;April 25, 2014;
Transcendence;3.4;April 18, 2014;
VHS: Viral;2.4;April 18, 2014;
Captain America: The Winter Soldier;3.8;April 04, 2014;
