Profile ID;Organisation;Location;Work Category;
33154;(REAL)  Right Education And Learning;Uttar Pradesh, Ghaziabad;Children - Education , Children - Slums , Self - Employment;
1796;1 De Maa Taram;Andhra Pradesh, Visakhapatnam;Business - NGO Products , Slum Development , Social Welfare;
13758;1298 Ambulance Access for All;Maharashtra, Mumbai, Bandra (E);Ambulance , Women;
34784;13th hope of  INDIA;West Bengal, Kolkota;Disaster Management , Environment , Rural Development;
34816;A dream for Great Nation India (AGNI);West Bengal, Kolkota;Social Welfare;
30302;A G Industrial School;Tamil Nadu, Sengottai;Children - Education , Children - Education;
1070;A Handicapped Service Foundation;Andhra Pradesh, Khammam;Disabilities - Hearing - Challenged , Disabilities - Visually - Challenged;
22224;A HELP EDUCATIONAL SOCIETY-REGD- NGO;Punjab, Bhatinda;Children - Orphanages , ICT - Information and Communication Technology , Vocational Training;
13876;A House For Every Indian;Maharashtra, Mumbai, Bandra (W);Urban Development;
18090;A J Foundation;Maharashtra, Pune;Community Development , Family Welfare , Medical - Hospital;
790;A M Charitable Trust;Andhra Pradesh, Hyderabad;Medical - Cancer;
33210;A ray of hope;Uttar Pradesh, Gorakhpur;Capacity Building , Children - Education , Social Welfare;
14064;A. K. Munshi Yojana;Maharashtra, Mumbai, Charni Road;Disabilities - Mentally - Challenged;
40038;A. Shama Rao Foundation;Karnataka, Mangalore;Children - Education;
33524;A.A. Gramodyog Educational & Social Welfare Society;Uttar Pradesh, Lucknow;Children - Education , Medical - Health;
25936;A.M.M. Foundation;Tamil Nadu, Chennai;Children - Education , Medical - Health;
622;A.P.A.W.M.R.;Andhra Pradesh, Hyderabad;Children - Early Intervention , Disabilities - Mentally - Challenged;
18280;Aabasaheb Polsamajik Vikas Seva Sanstha;Maharashtra, Satara;Children - Education , Self Help Groups , Vocational Training;
14838;Aabha;Maharashtra, Mumbai, Goregaon (E);Children - Education , Children - Slums , Women;
18892;Aabhaas;Maharashtra, Thane;Empowerment , Women , Youth;
1386;Aadarana;Andhra Pradesh, Others;Children - Education , Medical - Health;
13376;Aadarsh Jivan Vikas Partishthan;Maharashtra, Latur;Agriculture , Disabilities , Women;
13124;Aadarsh Mahila Sevabhavi Sanstha Basmat;Maharashtra, Indapur;Art and Culture , Education - Literacy , Medical - Health;
18480;Aadarsh Samajik Sanstha;Maharashtra, Thane;Education - Literacy , Environment , Medical - HIV / AIDs;
17300;Aadarsh Sevabhavi Sanstha;Maharashtra, Parbhani;Education - Literacy , Medical - Health , Women;
18476;Aadarsh Shikshan Va Samajik Sanstha;Maharashtra, Thane;Medical - HIV / AIDs , Rural Development , Women;
18470;Aadarsh Vikas Foundation;Maharashtra, Thane;Children - Education;
14074;Aadeeyoga Foundation;Maharashtra, Mumbai, Charni Road;Health - Yoga;
7602;Aadhaar - Delhi;Delhi, Delhi;Business - Management and Research , Institution , Mentoring;
14038;Aadhaar - Mumbai;Maharashtra, Mumbai, Byculla (W);Medical - Mental Health , Support Groups;
948;Aadhaar Welfare Society;Andhra Pradesh, Hyderabad;Senior Citizens , Women;
12934;Aadhar;Maharashtra, Buldhana;Art and Culture , Environment , Self Help Groups;
16966;Aadhar Bahuddyashia Seva Sanstha Peth;Maharashtra, Nasik;Education - Literacy , Environment , Rural Development;
19032;Aadhar Bahuuddeshiya Sanstha;Maharashtra, Yeotmal;Empowerment , Medical - HIV / AIDs , Self - Employment;
16876;Aadhar Bahuudeshhiya Samajik Santha;Maharashtra, Nasik;Blood donation , Children - Education , Youth;
10800;Aadhar Charitable Trust;Delhi, Delhi;Children , Medical - Cancer , Medical - Health;
14546;Aadhar Charitable Trust - Mumbai;Maharashtra, Mumbai, Deonar;Children , Children - Education , Sports;
18384;Aadhar Magaswargiya Mahila Sanstha;Maharashtra, Sholapur;Medical - Health , Vocational Training , Women;
12616;Aadhar Medical Education and Reseach Foundatiion;Maharashtra, Akola;Children - Education , Medical - Hospital , Medical - Trauma Care;
17388;Aadhar Pratishthan Trust;Maharashtra, Pune;Children - Slums , Children - Street Children , Rural Development;
18266;aadhar projects and welfare society;Maharashtra, Sangli;Agriculture , Children , Women;
22966;Aadhar Research Institute;Rajasthan, Jaipur;Social Welfare;
15712;Aadhar Seva Nyas;Maharashtra, Mumbai, Mulund (E);Rural Development;
15434;Aadipath Foundation and Research Centre;Maharashtra, Mumbai, Mahim (W);Children , Family Welfare , Women;
